VehicleCategory_Sedan,VehicleCategory_Sport,VehicleCategory_Utility,Make_Accura,Make_BMW,Age,Deductible,Make_Chevrolet,Make_Dodge,Make_Ferrari,Make_Ford,Make_Honda,Make_Jaguar,Make_Lexus,Make_Mazda,Make_Mecedes,Make_Mercury,Make_Nisson,Make_Pontiac,Make_Porche,Make_Saab,Make_Saturn,Make_Toyota,Make_VW,Age,VehiclePrice,DriverRating,AccidentArea_Rural,AccidentArea_Urban
False,True,False,False,False,21,300,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,21,69000.0,1,False,True
False,True,False,False,False,34,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34,69000.0,4,False,True
False,True,False,False,False,47,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,47,69000.0,3,False,True
False,True,False,False,False,65,400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,65,24500.0,2,True,False
False,True,False,False,False,27,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,27,69000.0,1,False,True
False,True,False,False,False,20,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,20,69000.0,3,False,True
False,True,False,False,False,36,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,36,69000.0,1,False,True
False,True,False,False,False,0,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,69000.0,4,False,True
False,True,False,False,False,30,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,30,69000.0,4,False,True
False,False,True,False,False,42,400,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,42,69000.0,1,False,True
True,False,False,False,False,71,400,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,71,69000.0,3,False,True
False,True,False,False,False,52,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,52,24500.0,1,False,True
False,True,False,False,False,28,400,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,28,69000.0,1,False,True
True,False,False,False,False,0,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,69000.0,3,True,False
False,True,False,False,False,61,400,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,61,69000.0,1,False,True
False,True,False,False,False,38,400,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,38,69000.0,1,False,True
True,False,False,False,False,41,400,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,41,69000.0,4,False,True
True,False,False,False,False,28,400,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,24500.0,1,False,True
False,True,False,False,False,32,400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,32,24500.0,1,False,True
False,True,False,False,False,30,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,30,69000.0,2,False,True
False,True,False,False,False,40,400,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40,24500.0,1,False,True
True,False,False,False,False,47,400,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,47,24500.0,2,False,True
False,True,False,False,False,63,400,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,63,24500.0,3,False,True
False,True,False,False,False,31,400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,31,34500.0,3,False,True
True,False,False,False,False,45,400,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,45,69000.0,3,False,True
False,True,False,False,False,60,400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,60,24500.0,4,False,True
True,False,False,False,False,21,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,21,34500.0,2,False,True
True,False,False,True,False,42,400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42,34500.0,3,False,True
True,False,False,False,False,0,400,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,69000.0,1,False,True
